genre,popularity,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence
Folk,49.0,0.807,0.564,258731.0,0.455,0.0832,-8.282,0.0369,132.196,0.305
Folk,51.0,0.153,0.285,236933.0,0.89,0.113,-8.143,0.0405,115.988,0.323
Folk,44.0,0.344,0.565,183580.0,0.625,0.123,-8.766,0.0277,110.998,0.563
Folk,45.0,0.576,0.341,65493.0,0.156,0.105,-12.228,0.0409,109.76,0.0816
Folk,44.0,0.89,0.696,143133.0,0.0565,0.11,-20.36,0.0604,120.453,0.68
Folk,48.0,0.661,0.287,280307.0,0.314,0.127,-14.154,0.0283,103.414,0.387
Folk,47.0,0.133,0.375,331867.0,0.462,0.115,-13.534,0.0305,102.85,0.537
Folk,49.0,0.703,0.644,283267.0,0.367,0.205,-10.883,0.0366,77.554,0.559
Folk,41.0,0.45,0.74,232133.0,0.467,0.0968,-6.828,0.0325,134.033,0.352
Folk,41.0,0.522,0.47,277800.0,0.31,0.106,-7.625,0.0302,120.176,0.0904
Folk,41.0,0.008,0.451,349953.0,0.826,0.0557,-6.155,0.0714,156.017,0.494
Folk,40.0,0.74,0.327,386440.0,0.385,0.142,-10.162,0.0434,68.556,0.354
Folk,45.0,0.00913,0.523,221200.0,0.7,0.165,-12.221,0.0656,130.574,0.745
Folk,45.0,0.795,0.56,241307.0,0.217,0.096,-11.291,0.0428,128.732,0.329
Folk,48.0,0.166,0.281,273137.0,0.918,0.323,-3.845,0.32,99.455,0.36
Folk,44.0,0.742,0.431,277547.0,0.352,0.148,-9.335,0.0275,94.915,0.246
Folk,41.0,0.544,0.683,227307.0,0.402,0.116,-8.456,0.0309,79.153,0.257
Folk,44.0,0.942,0.362,151720.0,0.215,0.0943,-11.807,0.0319,52.645,0.486
Folk,37.0,0.32,0.624,191733.0,0.513,0.0852,-8.438,0.0281,126.013,0.134
Folk,39.0,0.896,0.513,176387.0,0.354,0.165,-10.227,0.0287,140.014,0.466
Folk,47.0,0.909,0.425,195707.0,0.349,0.111,-12.15,0.0275,94.408,0.257
Folk,47.0,0.322,0.316,255318.0,0.667,0.747,-5.399,0.0419,194.081,0.692
Folk,39.0,0.804,0.408,128387.0,0.23,0.109,-9.643,0.0304,179.867,0.566
Folk,38.0,0.204,0.649,189907.0,0.503,0.658,-7.141,0.0327,109.954,0.412
Folk,41.0,0.847,0.514,306400.0,0.418,0.141,-10.456,0.0325,133.917,0.0621
Folk,38.0,0.153,0.599,235147.0,0.321,0.0991,-14.308,0.0289,81.222,0.357
Folk,47.0,0.028,0.518,325573.0,0.769,0.962,-8.696,0.102,122.783,0.571
Folk,38.0,0.0916,0.553,101987.0,0.495,0.349,-6.481,0.0393,125.182,0.507
Hip-Hop,84.0,0.0226,0.698,248521.0,0.66,0.0622,-7.883,0.052,159.949,0.451
Hip-Hop,68.0,0.148,0.637,330000.0,0.639,0.115,-5.834,0.179,75.489,0.345
Hip-Hop,79.0,0.529,0.855,248133.0,0.954,0.205,-1.19,0.264,114.635,0.668
Hip-Hop,75.0,0.11,0.66,180480.0,0.867,0.0368,-4.285,0.116,93.033,0.377
Hip-Hop,71.0,0.124,0.707,252026.0,0.562,0.561,-7.621,0.0305,98.094,0.418
Hip-Hop,73.0,0.0305,0.616,309638.0,0.684,0.376,-6.032,0.311,179.503,0.312
Hip-Hop,71.0,0.0705,0.586,222467.0,0.525,0.0729,-8.968,0.498,126.51,0.491
Hip-Hop,67.0,0.174,0.772,126043.0,0.605,0.329,-4.223,0.0579,128.162,0.425
Hip-Hop,68.0,0.0355,0.782,175213.0,0.633,0.0615,-4.644,0.341,150.055,0.749
Hip-Hop,67.0,0.0284,0.682,238203.0,0.639,0.197,-4.406,0.292,89.09,0.183
Hip-Hop,67.0,0.246,0.49,246793.0,0.651,0.233,-6.24,0.251,164.213,0.46
Hip-Hop,64.0,0.00196,0.776,217707.0,0.675,0.227,-6.224,0.266,131.984,0.271
Hip-Hop,68.0,0.0599,0.797,224240.0,0.469,0.0753,-8.112,0.0646,103.057,0.481
Hip-Hop,63.0,0.759,0.489,272573.0,0.57,0.179,-10.291,0.306,185.516,0.584
Hip-Hop,65.0,0.372,0.775,211862.0,0.539,0.225,-4.303,0.0881,144.966,0.624
Hip-Hop,63.0,0.00864,0.906,194293.0,0.623,0.0753,-6.711,0.303,99.498,0.715
Hip-Hop,79.0,0.178,0.762,228875.0,0.631,0.146,-4.837,0.0544,118.969,0.379
Hip-Hop,59.0,0.113,0.739,198165.0,0.57,0.118,-7.322,0.0741,108.899,0.802
Hip-Hop,63.0,0.234,0.794,251467.0,0.627,0.35,-9.431,0.36,87.554,0.518
Hip-Hop,62.0,0.379,0.76,153725.0,0.227,0.355,-8.327,0.15,96.912,0.279
Hip-Hop,60.0,0.121,0.548,188040.0,0.732,0.124,-6.284,0.328,154.164,0.566
Hip-Hop,67.0,0.306,0.786,235703.0,0.44,0.121,-7.673,0.157,98.014,0.315
Hip-Hop,59.0,0.103,0.795,145455.0,0.644,0.117,-7.883,0.237,164.988,0.465
Hip-Hop,62.0,0.855,0.808,94933.0,0.541,0.142,-6.525,0.252,92.132,0.811
Hip-Hop,59.0,0.000668,0.804,225135.0,0.456,0.31,-7.44,0.0468,130.014,0.165
Hip-Hop,58.0,0.15,0.608,183173.0,0.544,0.146,-6.465,0.0474,68.862,0.381
Hip-Hop,60.0,0.079,0.904,223053.0,0.783,0.149,-4.475,0.145,114.952,0.176
Hip-Hop,59.0,0.0203,0.661,209813.0,0.636,0.378,-4.551,0.118,179.041,0.428
Hip-Hop,60.0,0.325,0.867,153191.0,0.602,0.114,-10.486,0.351,94.025,0.782
Hip-Hop,56.0,0.032,0.73,219307.0,0.529,0.0992,-5.758,0.0379,134.967,0.475
Hip-Hop,63.0,0.0107,0.747,317933.0,0.68,0.0964,-6.187,0.0346,93.804,0.594
Hip-Hop,57.0,0.152,0.757,239412.0,0.772,0.559,-5.081,0.0577,105.937,0.218
