property_type,property_bedrooms,property_rooms,property_surface_total,property_surface_covered,latitud,longitud,tipo_precio
Departamento,1.0,2.0,48.0,44.0,-34.5699311,-58.4855925,alto
Departamento,2.0,3.0,65.0,60.0,-34.5739,-58.4332601,medio
Departamento,2.0,3.0,69.0,69.0,-34.600853,-58.3740489,bajo
PH,2.0,3.0,52.0,52.0,-34.5634045,-58.4939054,alto
Departamento,2.0,3.0,64.0,64.0,-34.5916195,-58.4140733,alto
Departamento,2.0,3.0,72.0,62.0,-34.6313392,-58.3706897,bajo
PH,3.0,4.0,88.0,75.0,-34.6305389,-58.4741847,bajo
Departamento,2.0,3.0,59.0,56.0,-34.6008598184,-58.4964267047,medio
Departamento,1.0,1.0,21.0,21.0,-34.597482,-58.3956204,medio
Departamento,2.0,3.0,71.0,67.0,-34.5955061,-58.4014588,medio
Departamento,1.0,2.0,54.0,50.0,-34.5887388,-58.4123451,alto
PH,3.0,4.0,135.0,90.0,-34.6125995,-58.5122698,bajo
Departamento,2.0,3.0,57.0,57.0,-34.6023908,-58.4061938,medio
Departamento,1.0,1.0,34.0,34.0,-34.6121972,-58.4917248,medio
Departamento,1.0,2.0,48.0,48.0,-34.6052703,-58.409083,bajo
Departamento,1.0,2.0,67.48767170905424,38.0,-34.5557358,-58.4693413,medio
Departamento,3.0,4.0,145.10729235614906,128.0,-34.60126,-58.5050011,medio
Departamento,3.0,3.0,85.0,75.0,-34.610783,-58.408026,bajo
PH,2.0,3.0,114.0,59.0,-34.6568432,-58.4298693,bajo
Departamento,3.0,4.0,135.0,122.0,-34.6237285,-58.4401954,alto
Departamento,3.0,4.0,137.0,105.0,-34.5882094369,-58.5108661652,alto
Departamento,1.0,2.0,59.0,54.0,-34.6129002,-58.402281,bajo
Departamento,1.0,1.0,58.86326941493259,28.0,-34.6184853,-58.3779928,bajo
Departamento,1.0,2.0,65.0,65.0,-34.5480447,-58.4725171,medio
Departamento,1.0,2.0,50.0,42.0,-34.6116048,-58.4551618,medio
Departamento,1.0,2.0,53.0,49.0,-34.5965940471,-58.4195423126,medio
